MAG,Description,GBK,Class,Category,Family
MAG03049,MAG03049_0021,MAG03049_0021.region001,resorcinol,other,FAM_00055
MAG03050,MAG03050_0002,MAG03050_0002.region001,ranthipeptide,RiPP,FAM_00109
MAG03051,MAG03051_0003,MAG03051_0003.region001,ranthipeptide,RiPP,FAM_00111
MAG03051,MAG03051_0007,MAG03051_0007.region001,RaS-RiPP,RiPP,FAM_00226
MAG03052,MAG03052_0078,MAG03052_0078.region001,RRE-containing,RiPP,FAM_00036
MAG03054,MAG03054_0005,MAG03054_0005.region001,RiPP-like,RiPP,FAM_00194
MAG03054,MAG03054_0007,MAG03054_0007.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03058,MAG03058_0119,MAG03058_0119.region001,RRE-containing,RiPP,FAM_00044
MAG03060,MAG03060_0001,MAG03060_0001.region001,T3PKS,PKS,FAM_00074
MAG03062,MAG03062_0013,MAG03062_0013.region001,RRE-containing,RiPP,FAM_00044
MAG03063,MAG03063_0002,MAG03063_0002.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03063,MAG03063_0002,MAG03063_0002.region002,RiPP-like,RiPP,FAM_00195
MAG03064,MAG03064_0010,MAG03064_0010.region001,RiPP-like,RiPP,FAM_00169
MAG03064,MAG03064_0041,MAG03064_0041.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG03064,MAG03064_0048,MAG03064_0048.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03065,MAG03065_0032,MAG03065_0032.region001,ranthipeptide,RiPP,FAM_00136
MAG03066,MAG03066_0001,MAG03066_0001.region001,NRPS-like,NRPS,FAM_00006
MAG03066,MAG03066_0006,MAG03066_0006.region001,T3PKS,PKS,FAM_00012
MAG03068,MAG03068_0003,MAG03068_0003.region001,ranthipeptide,RiPP,FAM_00109
MAG03069,MAG03069_0001,MAG03069_0001.region001,T3PKS,PKS,FAM_00074
MAG03071,MAG03071_0003,MAG03071_0003.region001,ranthipeptide,RiPP,FAM_00123
MAG03072,MAG03072_0004,MAG03072_0004.region001,RaS-RiPP,RiPP,FAM_00226
MAG03072,MAG03072_0005,MAG03072_0005.region001,ranthipeptide,RiPP,FAM_00111
MAG03073,MAG03073_0080,MAG03073_0080.region001,RiPP-like,RiPP,FAM_00241
MAG03074,MAG03074_0005,MAG03074_0005.region001,ranthipeptide,RiPP,FAM_00133
MAG03076,MAG03076_0002,MAG03076_0002.region001,RaS-RiPP,RiPP,FAM_00226
MAG03076,MAG03076_0022,MAG03076_0022.region001,ranthipeptide,RiPP,FAM_00112
MAG03077,MAG03077_0001,MAG03077_0001.region001,resorcinol,other,FAM_00055
MAG03077,MAG03077_0011,MAG03077_0011.region001,lassopeptide,RiPP,FAM_00338
MAG03078,MAG03078_0003,MAG03078_0003.region001,NRPS,NRPS,FAM_00141
MAG03078,MAG03078_0045,MAG03078_0045.region001,ranthipeptide,RiPP,FAM_00139
MAG03079,MAG03079_0053,MAG03079_0053.region001,ranthipeptide,RiPP,FAM_00123
MAG03080,MAG03080_0014,MAG03080_0014.region001,LAP,RiPP,FAM_00314
MAG03080,MAG03080_0019,MAG03080_0019.region001,RiPP-like,RiPP,FAM_00182
MAG03080,MAG03080_0020,MAG03080_0020.region001,ranthipeptide,RiPP,FAM_00132
MAG03081,MAG03081_0013,MAG03081_0013.region001,RRE-containing,RiPP,FAM_00416
MAG03082,MAG03082_0003,MAG03082_0003.region001,ranthipeptide,RiPP,FAM_00127
MAG03084,MAG03084_0034,MAG03084_0034.region001,RiPP-like,RiPP,FAM_00169
MAG03084,MAG03084_0036,MAG03084_0036.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03087,MAG03087_0007,MAG03087_0007.region001,lanthipeptide-class-ii,RiPP,FAM_00219
MAG03087,MAG03087_0015,MAG03087_0015.region001,RiPP-like,RiPP,FAM_00264
MAG03088,MAG03088_0033,MAG03088_0033.region001,ranthipeptide,RiPP,FAM_00106
MAG03089,MAG03089_0047,MAG03089_0047.region001,ranthipeptide,RiPP,FAM_00118
MAG03091,MAG03091_0003,MAG03091_0003.region001,RRE-containing,RiPP,FAM_00167
MAG03091,MAG03091_0012,MAG03091_0012.region001,NRP-metallophore.NRPS.RRE-containing,NRPS.RiPP,FAM_00214
MAG03091,MAG03091_0013,MAG03091_0013.region001,ranthipeptide,RiPP,FAM_00128
MAG03091,MAG03091_0024,MAG03091_0024.region001,RiPP-like,RiPP,FAM_00008
MAG03094,MAG03094_0001,MAG03094_0001.region001,ranthipeptide,RiPP,FAM_00113
MAG03094,MAG03094_0001,MAG03094_0001.region002,RiPP-like,RiPP,FAM_00260
MAG03098,MAG03098_0024,MAG03098_0024.region001,hglE-KS,PKS,FAM_00376
MAG03100,MAG03100_0073,MAG03100_0073.region001,ranthipeptide,RiPP,FAM_00142
MAG03101,MAG03101_0030,MAG03101_0030.region001,arylpolyene,PKS,FAM_00028
MAG03101,MAG03101_0034,MAG03101_0034.region001,RRE-containing,RiPP,FAM_00034
MAG03103,MAG03103_0006,MAG03103_0006.region001,ranthipeptide,RiPP,FAM_00135
MAG03108,MAG03108_0013,MAG03108_0013.region001,RRE-containing,RiPP,FAM_00167
MAG03108,MAG03108_0026,MAG03108_0026.region001,ranthipeptide,RiPP,FAM_00128
MAG03108,MAG03108_0040,MAG03108_0040.region001,RRE-containing,RiPP,FAM_00214
MAG03109,MAG03109_0007,MAG03109_0007.region001,LAP,RiPP,FAM_00314
MAG03109,MAG03109_0025,MAG03109_0025.region001,ranthipeptide,RiPP,FAM_00121
MAG03109,MAG03109_0035,MAG03109_0035.region001,RiPP-like,RiPP,FAM_00182
MAG03111,MAG03111_0010,MAG03111_0010.region001,NRPS-like,NRPS,FAM_00003
MAG03111,MAG03111_0050,MAG03111_0050.region001,T3PKS,PKS,FAM_00011
MAG03113,MAG03113_0014,MAG03113_0014.region001,RRE-containing,RiPP,FAM_00416
MAG03114,MAG03114_0030,MAG03114_0030.region001,ranthipeptide,RiPP,FAM_00123
MAG03115,MAG03115_0001,MAG03115_0001.region001,ranthipeptide,RiPP,FAM_00129
MAG03116,MAG03116_0004,MAG03116_0004.region001,RiPP-like,RiPP,FAM_00264
MAG03116,MAG03116_0008,MAG03116_0008.region001,lanthipeptide-class-ii,RiPP,FAM_00219
MAG03118,MAG03118_0037,MAG03118_0037.region001,ranthipeptide,RiPP,FAM_00106
MAG03119,MAG03119_0001,MAG03119_0001.region001,ranthipeptide,RiPP,FAM_00118
MAG03121,MAG03121_0407,MAG03121_0407.region001,ranthipeptide,RiPP,FAM_00133
MAG03122,MAG03122_0035,MAG03122_0035.region001,ranthipeptide,RiPP,FAM_00136
MAG03123,MAG03123_0021,MAG03123_0021.region001,ranthipeptide,RiPP,FAM_00134
MAG03124,MAG03124_0006,MAG03124_0006.region001,RRE-containing,RiPP,FAM_00034
MAG03126,MAG03126_0051,MAG03126_0051.region001,T3PKS,PKS,FAM_00078
MAG03128,MAG03128_0007,MAG03128_0007.region001,RaS-RiPP,RiPP,FAM_00226
MAG03128,MAG03128_0022,MAG03128_0022.region001,ranthipeptide,RiPP,FAM_00112
MAG03129,MAG03129_0001,MAG03129_0001.region001,RiPP-like,RiPP,FAM_00260
MAG03129,MAG03129_0002,MAG03129_0002.region001,ranthipeptide,RiPP,FAM_00113
MAG03131,MAG03131_0023,MAG03131_0023.region001,LAP,RiPP,FAM_00314
MAG03131,MAG03131_0110,MAG03131_0110.region001,RiPP-like,RiPP,FAM_00185
MAG03131,MAG03131_0182,MAG03131_0182.region001,ranthipeptide,RiPP,FAM_00133
MAG03132,MAG03132_0089,MAG03132_0089.region001,ranthipeptide,RiPP,FAM_00106
MAG03134,MAG03134_0014,MAG03134_0014.region001,T3PKS,PKS,FAM_00078
MAG03135,MAG03135_0002,MAG03135_0002.region001,RiPP-like,RiPP,FAM_00264
MAG03135,MAG03135_0007,MAG03135_0007.region001,lanthipeptide-class-ii,RiPP,FAM_00219
MAG03136,MAG03136_0085,MAG03136_0085.region001,ranthipeptide,RiPP,FAM_00111
MAG03137,MAG03137_0007,MAG03137_0007.region001,RiPP-like,RiPP,FAM_00194
MAG03137,MAG03137_0037,MAG03137_0037.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03138,MAG03138_0032,MAG03138_0032.region001,ranthipeptide,RiPP,FAM_00129
MAG03139,MAG03139_0076,MAG03139_0076.region001,ranthipeptide,RiPP,FAM_00110
MAG03143,MAG03143_0005,MAG03143_0005.region001,lassopeptide,RiPP,FAM_00338
MAG03145,MAG03145_0061,MAG03145_0061.region001,ranthipeptide,RiPP,FAM_00106
MAG03146,MAG03146_0009,MAG03146_0009.region001,ranthipeptide,RiPP,FAM_00136
MAG03146,MAG03146_0054,MAG03146_0054.region001,RRE-containing,RiPP,FAM_00416
MAG03149,MAG03149_0051,MAG03149_0051.region001,RRE-containing,RiPP,FAM_00034
MAG03149,MAG03149_0365,MAG03149_0365.region001,arylpolyene,PKS,FAM_00027
MAG03149,MAG03149_0421,MAG03149_0421.region001,arylpolyene,PKS,FAM_00029
MAG03150,MAG03150_0020,MAG03150_0020.region001,RiPP-like,RiPP,FAM_00264
MAG03150,MAG03150_0037,MAG03150_0037.region001,lanthipeptide-class-ii,RiPP,FAM_00219
MAG03151,MAG03151_0001,MAG03151_0001.region001,RiPP-like,RiPP,FAM_00194
MAG03151,MAG03151_0001,MAG03151_0001.region002,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03152,MAG03152_0009,MAG03152_0009.region001,NRPS-like,NRPS,FAM_00006
MAG03152,MAG03152_0013,MAG03152_0013.region001,T3PKS,PKS,FAM_00009
MAG03154,MAG03154_0002,MAG03154_0002.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG03154,MAG03154_0005,MAG03154_0005.region001,NRPS-like,NRPS,FAM_00001
MAG03154,MAG03154_0029,MAG03154_0029.region001,T3PKS,PKS,FAM_00010
MAG03155,MAG03155_0005,MAG03155_0005.region001,RiPP-like,RiPP,FAM_00182
MAG03155,MAG03155_0007,MAG03155_0007.region001,ranthipeptide,RiPP,FAM_00121
MAG03156,MAG03156_0016,MAG03156_0016.region001,ranthipeptide,RiPP,FAM_00106
MAG03158,MAG03158_0019,MAG03158_0019.region001,ranthipeptide,RiPP,FAM_00135
MAG03159,MAG03159_0005,MAG03159_0005.region001,T3PKS,PKS,FAM_00074
MAG03160,MAG03160_0005,MAG03160_0005.region001,RRE-containing,RiPP,FAM_00044
MAG03161,MAG03161_0008,MAG03161_0008.region001,T3PKS,PKS,FAM_00073
MAG03162,MAG03162_0001,MAG03162_0001.region001,RiPP-like,RiPP,FAM_00182
MAG03162,MAG03162_0006,MAG03162_0006.region001,ranthipeptide,RiPP,FAM_00121
MAG03163,MAG03163_0020,MAG03163_0020.region001,arylpolyene,PKS,FAM_00018
MAG03163,MAG03163_0036,MAG03163_0036.region001,RRE-containing,RiPP,FAM_00039
MAG03165,MAG03165_0158,MAG03165_0158.region001,ranthipeptide,RiPP,FAM_00136
MAG03165,MAG03165_0374,MAG03165_0374.region001,ranthipeptide,RiPP,FAM_00137
MAG03166,MAG03166_0033,MAG03166_0033.region001,T3PKS,PKS,FAM_00012
MAG03166,MAG03166_0042,MAG03166_0042.region001,NRPS-like,NRPS,FAM_00006
MAG03167,MAG03167_0011,MAG03167_0011.region001,T3PKS,PKS,FAM_00074
MAG03168,MAG03168_0003,MAG03168_0003.region001,RiPP-like,RiPP,FAM_00194
MAG03168,MAG03168_0003,MAG03168_0003.region002,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03169,MAG03169_0041,MAG03169_0041.region001,ranthipeptide,RiPP,FAM_00106
MAG03170,MAG03170_0021,MAG03170_0021.region001,T3PKS,PKS,FAM_00073
MAG03171,MAG03171_0061,MAG03171_0061.region001,RaS-RiPP,RiPP,FAM_00226
MAG03171,MAG03171_0074,MAG03171_0074.region001,ranthipeptide,RiPP,FAM_00112
MAG03172,MAG03172_0010,MAG03172_0010.region001,T3PKS,PKS,FAM_00009
MAG03173,MAG03173_0003,MAG03173_0003.region001,RaS-RiPP,RiPP,FAM_00226
MAG03174,MAG03174_0001,MAG03174_0001.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG03174,MAG03174_0025,MAG03174_0025.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG03174,MAG03174_0030,MAG03174_0030.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03175,MAG03175_0026,MAG03175_0026.region001,T3PKS,PKS,FAM_00084
MAG03176,MAG03176_0021,MAG03176_0021.region001,ranthipeptide,RiPP,FAM_00135
MAG03177,MAG03177_0087,MAG03177_0087.region001,NRPS-like,NRPS,FAM_00001
MAG03179,MAG03179_0005,MAG03179_0005.region001,T3PKS,PKS,FAM_00073
MAG03180,MAG03180_0001,MAG03180_0001.region001,T3PKS,PKS,FAM_00074
MAG03181,MAG03181_0001,MAG03181_0001.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03181,MAG03181_0001,MAG03181_0001.region002,RiPP-like,RiPP,FAM_00195
MAG03183,MAG03183_0028,MAG03183_0028.region001,RRE-containing,RiPP,FAM_00060
MAG03184,MAG03184_0005,MAG03184_0005.region001,arylpolyene,PKS,FAM_00017
MAG03184,MAG03184_0042,MAG03184_0042.region001,arylpolyene,PKS,FAM_00019
MAG03186,MAG03186_0001,MAG03186_0001.region001,RiPP-like,RiPP,FAM_00182
MAG03186,MAG03186_0006,MAG03186_0006.region001,ranthipeptide,RiPP,FAM_00121
MAG03187,MAG03187_0014,MAG03187_0014.region001,RRE-containing,RiPP,FAM_00034
MAG03188,MAG03188_0024,MAG03188_0024.region001,ranthipeptide,RiPP,FAM_00106
MAG03190,MAG03190_0055,MAG03190_0055.region001,ranthipeptide,RiPP,FAM_00122
MAG03190,MAG03190_0117,MAG03190_0117.region001,lanthipeptide-class-iv,RiPP,FAM_00252
MAG03190,MAG03190_0118,MAG03190_0118.region001,lanthipeptide-class-i,RiPP,FAM_00345
MAG03191,MAG03191_0004,MAG03191_0004.region001,RiPP-like,RiPP,FAM_00182
MAG03191,MAG03191_0006,MAG03191_0006.region001,ranthipeptide,RiPP,FAM_00121
MAG03192,MAG03192_0034,MAG03192_0034.region001,T3PKS,PKS,FAM_00073
MAG03193,MAG03193_0001,MAG03193_0001.region001,RiPP-like,RiPP,FAM_00194
MAG03193,MAG03193_0001,MAG03193_0001.region002,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03194,MAG03194_0016,MAG03194_0016.region001,RRE-containing,RiPP,FAM_00106
MAG03196,MAG03196_0047,MAG03196_0047.region001,T3PKS,PKS,FAM_00074
MAG03197,MAG03197_0006,MAG03197_0006.region001,T3PKS,PKS,FAM_00009
MAG03197,MAG03197_0009,MAG03197_0009.region001,NRPS-like,NRPS,FAM_00006
MAG03198,MAG03198_0003,MAG03198_0003.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03198,MAG03198_0014,MAG03198_0014.region001,RiPP-like,RiPP,FAM_00194
MAG03199,MAG03199_0003,MAG03199_0003.region001,T3PKS,PKS,FAM_00073
MAG03202,MAG03202_0002,MAG03202_0002.region001,NRPS-like,NRPS,FAM_00001
MAG03202,MAG03202_0005,MAG03202_0005.region001,lanthipeptide-class-i,RiPP,FAM_00447
MAG03202,MAG03202_0011,MAG03202_0011.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG03202,MAG03202_0015,MAG03202_0015.region001,T3PKS,PKS,FAM_00010
MAG03203,MAG03203_0016,MAG03203_0016.region001,ranthipeptide,RiPP,FAM_00135
MAG03204,MAG03204_0016,MAG03204_0016.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG03204,MAG03204_0026,MAG03204_0026.region001,lanthipeptide-class-ii,RiPP,FAM_00175
MAG03204,MAG03204_0029,MAG03204_0029.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03206,MAG03206_0007,MAG03206_0007.region001,RRE-containing,RiPP,FAM_00045
MAG03206,MAG03206_0054,MAG03206_0054.region001,resorcinol,other,FAM_00042
MAG03207,MAG03207_0020,MAG03207_0020.region001,RRE-containing,RiPP,FAM_00036
MAG03210,MAG03210_0003,MAG03210_0003.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03210,MAG03210_0003,MAG03210_0003.region002,RiPP-like,RiPP,FAM_00195
MAG03212,MAG03212_0001,MAG03212_0001.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG03212,MAG03212_0021,MAG03212_0021.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG03212,MAG03212_0022,MAG03212_0022.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03213,MAG03213_0012,MAG03213_0012.region001,T3PKS,PKS,FAM_00078
MAG03214,MAG03214_0004,MAG03214_0004.region001,NRPS-like,NRPS,FAM_00001
MAG03214,MAG03214_0007,MAG03214_0007.region001,lanthipeptide-class-i,RiPP,FAM_00447
MAG03214,MAG03214_0022,MAG03214_0022.region001,T3PKS,PKS,FAM_00010
MAG03214,MAG03214_0025,MAG03214_0025.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG03215,MAG03215_0025,MAG03215_0025.region001,ranthipeptide,RiPP,FAM_00106
MAG03217,MAG03217_0005,MAG03217_0005.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03217,MAG03217_0005,MAG03217_0005.region002,RiPP-like,RiPP,FAM_00195
MAG03219,MAG03219_0002,MAG03219_0002.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG03219,MAG03219_0023,MAG03219_0023.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG03219,MAG03219_0027,MAG03219_0027.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03220,MAG03220_0010,MAG03220_0010.region001,ranthipeptide,RiPP,FAM_00106
MAG03223,MAG03223_0016,MAG03223_0016.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03224,MAG03224_0010,MAG03224_0010.region001,T3PKS,PKS,FAM_00187
MAG03225,MAG03225_0023,MAG03225_0023.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03227,MAG03227_0003,MAG03227_0003.region001,ranthipeptide,RiPP,FAM_00108
MAG03228,MAG03228_0002,MAG03228_0002.region001,lassopeptide,RiPP,FAM_00338
MAG03229,MAG03229_0011,MAG03229_0011.region001,arylpolyene,PKS,FAM_00028
MAG03229,MAG03229_0088,MAG03229_0088.region001,arylpolyene,PKS,FAM_00020
MAG03229,MAG03229_0091,MAG03229_0091.region001,RRE-containing,RiPP,FAM_00034
MAG03231,MAG03231_0067,MAG03231_0067.region001,RiPP-like,RiPP,FAM_00261
MAG03231,MAG03231_0081,MAG03231_0081.region001,ranthipeptide,RiPP,FAM_00146
MAG03233,MAG03233_0054,MAG03233_0054.region001,RiPP-like,RiPP,FAM_00422
MAG03233,MAG03233_0081,MAG03233_0081.region001,ranthipeptide,RiPP,FAM_00384
MAG03234,MAG03234_0004,MAG03234_0004.region001,RiPP-like,RiPP,FAM_00097
MAG03234,MAG03234_0172,MAG03234_0172.region001,RiPP-like,RiPP,FAM_00093
MAG03236,MAG03236_0012,MAG03236_0012.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG03236,MAG03236_0120,MAG03236_0120.region001,T3PKS,PKS,FAM_00011
MAG03237,MAG03237_0050,MAG03237_0050.region001,T3PKS,PKS,FAM_00012
MAG03238,MAG03238_0047,MAG03238_0047.region001,RRE-containing,RiPP,FAM_00039
MAG03238,MAG03238_0109,MAG03238_0109.region001,arylpolyene,PKS,FAM_00017
MAG03238,MAG03238_0157,MAG03238_0157.region001,arylpolyene,PKS,FAM_00019
MAG03239,MAG03239_0003,MAG03239_0003.region001,RiPP-like,RiPP,FAM_00182
MAG03239,MAG03239_0008,MAG03239_0008.region001,ranthipeptide,RiPP,FAM_00121
MAG03240,MAG03240_0054,MAG03240_0054.region001,RRE-containing,RiPP,FAM_00045
MAG03241,MAG03241_0080,MAG03241_0080.region001,T3PKS,PKS,FAM_00187
MAG03242,MAG03242_0023,MAG03242_0023.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03245,MAG03245_0022,MAG03245_0022.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03246,MAG03246_0230,MAG03246_0230.region001,T3PKS,PKS,FAM_00188
MAG03247,MAG03247_0014,MAG03247_0014.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG03248,MAG03248_0008,MAG03248_0008.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03249,MAG03249_0008,MAG03249_0008.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03250,MAG03250_0027,MAG03250_0027.region001,RRE-containing,RiPP,FAM_00331
MAG03250,MAG03250_0096,MAG03250_0096.region001,ranthipeptide,RiPP,FAM_00148
MAG03251,MAG03251_0001,MAG03251_0001.region001,betalactone,other,FAM_00484
MAG03251,MAG03251_0005,MAG03251_0005.region001,terpene,terpene,FAM_00390
MAG03251,MAG03251_0014,MAG03251_0014.region001,T1PKS,PKS,FAM_00198
MAG03252,MAG03252_0008,MAG03252_0008.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03253,MAG03253_0003,MAG03253_0003.region001,T3PKS,PKS,FAM_00515
MAG03253,MAG03253_0017,MAG03253_0017.region001,NAPAA,NRPS,FAM_00358
MAG03253,MAG03253_0053,MAG03253_0053.region001,terpene,terpene,FAM_00440
MAG03256,MAG03256_0013,MAG03256_0013.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03257,MAG03257_0001,MAG03257_0001.region001,T3PKS,PKS,FAM_00077
MAG03260,MAG03260_0001,MAG03260_0001.region001,RiPP-like,RiPP,FAM_00169
MAG03260,MAG03260_0014,MAG03260_0014.region001,lanthipeptide-class-ii,RiPP,FAM_00174
MAG03260,MAG03260_0015,MAG03260_0015.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03261,MAG03261_0008,MAG03261_0008.region001,T3PKS,PKS,FAM_00276
MAG03261,MAG03261_0014,MAG03261_0014.region001,arylpolyene,PKS,FAM_00367
MAG03262,MAG03262_0006,MAG03262_0006.region001,RiPP-like,RiPP,FAM_00169
MAG03262,MAG03262_0021,MAG03262_0021.region001,lanthipeptide-class-ii,RiPP,FAM_00174
MAG03262,MAG03262_0024,MAG03262_0024.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03263,MAG03263_0007,MAG03263_0007.region001,T3PKS,PKS,FAM_00077
MAG03264,MAG03264_0006,MAG03264_0006.region001,RiPP-like,RiPP,FAM_00169
MAG03264,MAG03264_0026,MAG03264_0026.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03266,MAG03266_0112,MAG03266_0112.region001,T3PKS,PKS,FAM_00186
MAG03267,MAG03267_0001,MAG03267_0001.region001,lanthipeptide-class-iv,RiPP,FAM_00296
MAG03268,MAG03268_0038,MAG03268_0038.region001,RiPP-like,RiPP,FAM_00090
MAG03268,MAG03268_0047,MAG03268_0047.region001,LAP,RiPP,FAM_00101
MAG03269,MAG03269_0045,MAG03269_0045.region001,T3PKS,PKS,FAM_00077
MAG03270,MAG03270_0036,MAG03270_0036.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03272,MAG03272_0010,MAG03272_0010.region001,T3PKS,PKS,FAM_00276
MAG03272,MAG03272_0014,MAG03272_0014.region001,arylpolyene,PKS,FAM_00367
MAG03273,MAG03273_0032,MAG03273_0032.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03274,MAG03274_0013,MAG03274_0013.region001,T3PKS,PKS,FAM_00078
MAG03276,MAG03276_0015,MAG03276_0015.region001,T3PKS,PKS,FAM_00077
MAG03277,MAG03277_0028,MAG03277_0028.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03278,MAG03278_0010,MAG03278_0010.region001,RiPP-like,RiPP,FAM_00240
MAG03278,MAG03278_0028,MAG03278_0028.region001,RiPP-like,RiPP,FAM_00097
MAG03278,MAG03278_0147,MAG03278_0147.region001,RiPP-like,RiPP,FAM_00087
MAG03278,MAG03278_0197,MAG03278_0197.region001,RiPP-like,RiPP,FAM_00094
MAG03279,MAG03279_0029,MAG03279_0029.region001,NRPS,NRPS,FAM_00165
MAG03280,MAG03280_0013,MAG03280_0013.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03281,MAG03281_0009,MAG03281_0009.region001,RiPP-like,RiPP,FAM_00240
MAG03281,MAG03281_0034,MAG03281_0034.region001,RiPP-like,RiPP,FAM_00097
MAG03281,MAG03281_0075,MAG03281_0075.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG03281,MAG03281_0086,MAG03281_0086.region001,LAP,RiPP,FAM_00101
MAG03281,MAG03281_0149,MAG03281_0149.region001,RiPP-like,RiPP,FAM_00087
MAG03283,MAG03283_0013,MAG03283_0013.region001,RRE-containing,RiPP,FAM_00060
MAG03284,MAG03284_0033,MAG03284_0033.region001,RiPP-like,RiPP,FAM_00264
MAG03286,MAG03286_0004,MAG03286_0004.region001,ranthipeptide,RiPP,FAM_00106
MAG03288,MAG03288_0047,MAG03288_0047.region001,RRE-containing,RiPP,FAM_00163
MAG03290,MAG03290_0001,MAG03290_0001.region001,ranthipeptide,RiPP,FAM_00121
MAG03290,MAG03290_0012,MAG03290_0012.region001,RiPP-like,RiPP,FAM_00182
MAG03291,MAG03291_0002,MAG03291_0002.region001,RRE-containing,RiPP,FAM_00034
MAG03291,MAG03291_0016,MAG03291_0016.region001,arylpolyene,PKS,FAM_00020
MAG03291,MAG03291_0038,MAG03291_0038.region001,LAP.thiopeptide,RiPP,FAM_00032
MAG03292,MAG03292_0003,MAG03292_0003.region001,RaS-RiPP,RiPP,FAM_00226
MAG03292,MAG03292_0004,MAG03292_0004.region001,ranthipeptide,RiPP,FAM_00111
MAG03294,MAG03294_0007,MAG03294_0007.region001,ranthipeptide,RiPP,FAM_00135
MAG03296,MAG03296_0008,MAG03296_0008.region001,T3PKS,PKS,FAM_00080
MAG03297,MAG03297_0003,MAG03297_0003.region001,ranthipeptide,RiPP,FAM_00118
MAG03300,MAG03300_0003,MAG03300_0003.region001,RiPP-like,RiPP,FAM_00225
MAG03300,MAG03300_0018,MAG03300_0018.region001,RiPP-like,RiPP,FAM_00271
MAG03300,MAG03300_0019,MAG03300_0019.region001,RiPP-like,RiPP,FAM_00269
MAG03301,MAG03301_0177,MAG03301_0177.region001,ranthipeptide,RiPP,FAM_00137
MAG03302,MAG03302_0002,MAG03302_0002.region001,T3PKS,PKS,FAM_00009
MAG03303,MAG03303_0009,MAG03303_0009.region001,NRPS-like,NRPS,FAM_00004
MAG03303,MAG03303_0020,MAG03303_0020.region001,T3PKS,PKS,FAM_00011
MAG03303,MAG03303_0027,MAG03303_0027.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG03304,MAG03304_0006,MAG03304_0006.region001,lanthipeptide-class-i,RiPP,FAM_00286
MAG03305,MAG03305_0004,MAG03305_0004.region001,RRE-containing,RiPP,FAM_00038
MAG03305,MAG03305_0005,MAG03305_0005.region001,arylpolyene,PKS,FAM_00019
MAG03305,MAG03305_0006,MAG03305_0006.region001,arylpolyene,PKS,FAM_00017
MAG03307,MAG03307_0029,MAG03307_0029.region001,ranthipeptide,RiPP,FAM_00123
MAG03308,MAG03308_0006,MAG03308_0006.region001,ranthipeptide,RiPP,FAM_00136
MAG03309,MAG03309_0003,MAG03309_0003.region001,RiPP-like,RiPP,FAM_00169
MAG03309,MAG03309_0069,MAG03309_0069.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG03310,MAG03310_0006,MAG03310_0006.region001,ranthipeptide,RiPP,FAM_00106
MAG03312,MAG03312_0003,MAG03312_0003.region001,T3PKS,PKS,FAM_00084
