sequence,region,type,From_To,most_similar_known_cluster,most_similar_known_cluster_type,similarity,BGC
MAG01687_0019,19.1,['RRE-containing'],38839_55945,,,,
MAG01688_0002,2.1,['RiPP-like'],321877_331107,gassericin T,RiPP,55,BGC0000619
MAG01688_0002,2.1,['RiPP-like'],321877_331107,gassericin-T,RiPP,55,BGC0001602
MAG01688_0002,2.1,['RiPP-like'],321877_331107,gassericin E,RiPP,55,BGC0001388
MAG01688_0011,11.1,['RiPP-like'],2353_12801,gassericin-S,RiPP,100,BGC0001601
MAG01689_0007,7.1,['RiPP-like'],45787_57937,,,,
MAG01689_0022,22.1,['T3PKS'],1_24375,,,,
MAG01690_0075,75.1,['lassopeptide'],1_5919,,,,
MAG01691_0003,3.1,['lanthipeptide-class-iv'],1_12443,,,,
MAG01691_0020,20.1,['RRE-containing'],1_17107,,,,
MAG01692_0009,9.1,['RiPP-like'],2353_12801,gassericin-S,RiPP,100,BGC0001601
MAG01693_0156,156.1,['resorcinol'],1_3754,,,,
MAG01693_0399,399.1,['resorcinol'],1_2112,,,,
MAG01694_0032,32.1,['lanthipeptide-class-iii'],1_9959,,,,
MAG01698_0019,19.1,['NRPS-like'],1_17500,,,,
MAG01698_0020,20.1,['T3PKS'],1_17424,,,,
MAG01698_0077,77.1,['lanthipeptide-class-iii'],1_6224,,,,
MAG01700_0020,20.1,['lanthipeptide-class-iii'],1_7505,,,,
MAG01701_0005,5.1,['RiPP-like'],1_8822,,,,
MAG01701_0007,7.1,['T3PKS'],2799_33604,,,,
MAG01701_0030,30.1,['RiPP-like'],6618_18777,,,,
MAG01701_0031,31.1,['RiPP-like'],4694_18358,,,,
MAG01702_0020,20.1,['RiPP-like'],11244_19170,,,,
MAG01704_0043,43.1,['RiPP-like'],4202_10795,,,,
MAG01704_0283,283.1,['RiPP-like'],1_2055,,,,
MAG01708_0024,24.1,['RiPP-like'],1_7115,,,,
MAG01709_0043,43.1,['RiPP-like'],1004_7979,gassericin T,RiPP,33,BGC0000619
MAG01709_0043,43.1,['RiPP-like'],1004_7979,gassericin-T,RiPP,33,BGC0001602
MAG01709_0043,43.1,['RiPP-like'],1004_7979,gassericin E,RiPP,22,BGC0001388
MAG01709_0054,54.1,['RiPP-like'],1_4006,,,,
MAG01710_0039,39.1,['resorcinol'],1_16750,,,,
MAG01711_0045,45.1,['lanthipeptide-class-iii'],1_8093,,,,
MAG01712_0008,8.1,['T3PKS'],18644_45600,,,,
MAG01713_0004,4.1,['lanthipeptide-class-ii'],1_18175,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01713_0004,4.1,['lanthipeptide-class-ii'],1_18175,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01713_0009,9.1,['RiPP-like'],17026_28267,,,,
MAG01714_0077,77.1,['T3PKS'],1_5720,,,,
MAG01715_0001,1.1,['RiPP-like'],13672_24607,,,,
MAG01715_0007,7.1,['RiPP-like'],6557_21967,gassericin T,RiPP,44,BGC0000619
MAG01715_0007,7.1,['RiPP-like'],6557_21967,gassericin-T,RiPP,44,BGC0001602
MAG01715_0007,7.1,['RiPP-like'],6557_21967,gassericin E,RiPP,33,BGC0001388
MAG01716_0010,10.1,['T3PKS'],7604_48908,,,,
MAG01717_0001,1.1,['lanthipeptide-class-v'],1_23995,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG01717_0001,1.1,['lanthipeptide-class-v'],1_23995,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG01717_0001,1.1,['lanthipeptide-class-v'],1_23995,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG01717_0001,1.1,['lanthipeptide-class-v'],1_23995,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG01717_0001,1.2,['lanthipeptide-class-ii'],1_23995,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG01717_0001,1.2,['lanthipeptide-class-ii'],1_23995,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG01717_0001,1.2,['lanthipeptide-class-ii'],1_23995,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG01717_0001,1.2,['lanthipeptide-class-ii'],1_23995,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG01717_0020,20.1,['lanthipeptide-class-iii'],1_10609,,,,
MAG01717_0027,27.1,['RiPP-like'],1_5706,,,,
MAG01719_0002,2.1,['RiPP-like'],23617_39027,gassericin T,RiPP,44,BGC0000619
MAG01719_0002,2.1,['RiPP-like'],23617_39027,gassericin-T,RiPP,44,BGC0001602
MAG01719_0002,2.1,['RiPP-like'],23617_39027,gassericin E,RiPP,33,BGC0001388
MAG01719_0012,12.1,['LAP'],1_16491,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG01721_0001,1.1,['lanthipeptide-class-v'],1_23995,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG01721_0001,1.1,['lanthipeptide-class-v'],1_23995,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG01721_0001,1.1,['lanthipeptide-class-v'],1_23995,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG01721_0001,1.1,['lanthipeptide-class-v'],1_23995,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG01721_0001,1.2,['lanthipeptide-class-ii'],1_23995,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG01721_0001,1.2,['lanthipeptide-class-ii'],1_23995,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG01721_0001,1.2,['lanthipeptide-class-ii'],1_23995,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG01721_0001,1.2,['lanthipeptide-class-ii'],1_23995,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG01721_0023,23.1,['lanthipeptide-class-iii'],1_10609,,,,
MAG01722_0003,3.1,['T3PKS'],52108_93589,,,,
MAG01724_0016,16.1,['T3PKS'],1_29040,,,,
MAG01725_0001,1.1,['lanthipeptide-class-ii'],1_13915,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG01725_0001,1.1,['lanthipeptide-class-ii'],1_13915,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01725_0001,1.1,['lanthipeptide-class-ii'],1_13915,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG01725_0001,1.1,['lanthipeptide-class-ii'],1_13915,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG01725_0001,1.1,['lanthipeptide-class-ii'],1_13915,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01725_0001,1.2,['lanthipeptide-class-v'],1_13915,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG01725_0001,1.2,['lanthipeptide-class-v'],1_13915,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01725_0001,1.2,['lanthipeptide-class-v'],1_13915,lacticin 481,RiPP:Lanthipeptide,20,BGC0000521
MAG01725_0001,1.2,['lanthipeptide-class-v'],1_13915,nukacin ISK-1,RiPP:Lanthipeptide,18,BGC0000539
MAG01725_0001,1.2,['lanthipeptide-class-v'],1_13915,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01725_0026,26.1,['lanthipeptide-class-iii'],1_10793,,,,
MAG01725_0032,32.1,['RiPP-like'],1_5706,,,,
MAG01726_0024,24.1,['T3PKS'],1_16182,,,,
MAG01727_0003,3.1,['lanthipeptide-class-ii'],118604_141309,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01727_0003,3.1,['lanthipeptide-class-ii'],118604_141309,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01727_0003,3.2,['RiPP-like'],118604_141309,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01727_0003,3.2,['RiPP-like'],118604_141309,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01728_0002,2.1,['RiPP-like'],69282_80217,,,,
MAG01728_0009,9.1,['RiPP-like'],23667_39077,gassericin T,RiPP,44,BGC0000619
MAG01728_0009,9.1,['RiPP-like'],23667_39077,gassericin-T,RiPP,44,BGC0001602
MAG01728_0009,9.1,['RiPP-like'],23667_39077,gassericin E,RiPP,33,BGC0001388
MAG01729_0039,39.1,['hserlactone'],2898_15291,,,,
MAG01729_0171,171.1,['hserlactone'],1_9585,,,,
MAG01729_0222,222.1,['T3PKS'],1_8408,,,,
MAG01729_0301,301.1,['RiPP-like'],610_7203,,,,
MAG01729_0308,308.1,['hydrogen-cyanide'],1_7067,,,,
MAG01729_0335,335.1,['terpene'],1_6774,carotenoid,Terpene,100,BGC0000647
MAG01729_0396,396.1,['RiPP-like'],1_6100,,,,
MAG01729_0441,441.1,['cyanobactin'],1_5730,,,,
MAG01729_0683,683.1,['hserlactone'],1_3937,,,,
MAG01729_0735,735.1,['redox-cofactor'],1_3675,,,,
MAG01729_0865,865.1,['terpene'],1_3064,,,,
MAG01729_0944,944.1,['T3PKS'],1_2658,,,,
MAG01729_1062,1062.1,['terpene'],1_1963,,,,
MAG01730_0002,2.1,['arylpolyene'],71882_120632,flexirubin,Other,28,BGC0000839
MAG01730_0002,2.1,['arylpolyene'],71882_120632,flexirubin,Polyketide,13,BGC0000838
MAG01730_0002,2.1,['arylpolyene'],71882_120632,APE Vf,Other,15,BGC0000837
MAG01730_0002,2.1,['arylpolyene'],71882_120632,aryl polyenes,Other,16,BGC0002008
MAG01730_0008,8.1,['RRE-containing'],42813_63202,,,,
MAG01731_0002,2.1,['RiPP-like'],100043_111284,,,,
MAG01731_0002,2.2,['lanthipeptide-class-ii'],100043_111284,,,,
MAG01732_0001,1.1,['RiPP-like'],69282_80217,,,,
MAG01732_0007,7.1,['RiPP-like'],6714_22124,gassericin T,RiPP,44,BGC0000619
MAG01732_0007,7.1,['RiPP-like'],6714_22124,gassericin-T,RiPP,44,BGC0001602
MAG01732_0007,7.1,['RiPP-like'],6714_22124,gassericin E,RiPP,33,BGC0001388
MAG01732_0017,17.1,['LAP'],20406_36992,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG01732_0096,96.1,['RiPP-like'],1_5706,,,,
MAG01733_0010,10.1,['T3PKS'],1_32453,,,,
MAG01739_0003,3.1,['lanthipeptide-class-ii'],118646_141351,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01739_0003,3.1,['lanthipeptide-class-ii'],118646_141351,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01739_0003,3.2,['RiPP-like'],118646_141351,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01739_0003,3.2,['RiPP-like'],118646_141351,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01740_0004,4.1,['T3PKS'],1_25082,,,,
MAG01740_0016,16.1,['T3PKS'],5143_30456,,,,
MAG01741_0003,3.1,['RiPP-like'],13609_24544,,,,
MAG01741_0008,8.1,['RiPP-like'],23662_39072,gassericin T,RiPP,44,BGC0000619
MAG01741_0008,8.1,['RiPP-like'],23662_39072,gassericin-T,RiPP,44,BGC0001602
MAG01741_0008,8.1,['RiPP-like'],23662_39072,gassericin E,RiPP,33,BGC0001388
MAG01741_0017,17.1,['LAP'],20394_36980,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG01741_0099,99.1,['RiPP-like'],1_5680,,,,
MAG01742_0002,2.1,['arylpolyene'],76291_125041,flexirubin,Other,28,BGC0000839
MAG01742_0002,2.1,['arylpolyene'],76291_125041,flexirubin,Polyketide,13,BGC0000838
MAG01742_0002,2.1,['arylpolyene'],76291_125041,APE Vf,Other,15,BGC0000837
MAG01742_0002,2.1,['arylpolyene'],76291_125041,aryl polyenes,Other,16,BGC0002008
MAG01742_0003,3.1,['RRE-containing'],140002_160391,,,,
MAG01742_0030,30.1,"['thiopeptide', 'LAP']",1_20844,,,,
MAG01747_0002,2.1,['arylpolyene'],76291_125041,flexirubin,Other,28,BGC0000839
MAG01747_0002,2.1,['arylpolyene'],76291_125041,flexirubin,Polyketide,13,BGC0000838
MAG01747_0002,2.1,['arylpolyene'],76291_125041,APE Vf,Other,15,BGC0000837
MAG01747_0002,2.1,['arylpolyene'],76291_125041,aryl polyenes,Other,16,BGC0002008
MAG01747_0003,3.1,['RRE-containing'],14799_35188,,,,
MAG01747_0039,39.1,['LAP'],1_9310,,,,
MAG01748_0002,2.1,['RiPP-like'],69282_80217,,,,
MAG01748_0008,8.1,['RiPP-like'],23621_39031,gassericin T,RiPP,44,BGC0000619
MAG01748_0008,8.1,['RiPP-like'],23621_39031,gassericin-T,RiPP,44,BGC0001602
MAG01748_0008,8.1,['RiPP-like'],23621_39031,gassericin E,RiPP,33,BGC0001388
MAG01748_0018,18.1,['LAP'],20399_36985,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG01748_0096,96.1,['RiPP-like'],1_5706,,,,
MAG01749_0038,38.1,['T3PKS'],1_6784,,,,
MAG01750_0001,1.1,['RiPP-like'],100042_111283,,,,
MAG01750_0001,1.2,['lanthipeptide-class-ii'],100042_111283,,,,
MAG01751_0052,52.1,['ranthipeptide'],1_10426,,,,
MAG01755_0002,2.1,['RRE-containing'],14799_35188,,,,
MAG01755_0006,6.1,['arylpolyene'],1_39289,flexirubin,Other,28,BGC0000839
MAG01755_0006,6.1,['arylpolyene'],1_39289,flexirubin,Polyketide,13,BGC0000838
MAG01755_0006,6.1,['arylpolyene'],1_39289,APE Vf,Other,15,BGC0000837
MAG01755_0006,6.1,['arylpolyene'],1_39289,aryl polyenes,Other,16,BGC0002008
MAG01756_0003,3.1,['RiPP-like'],1_5210,,,,
MAG01756_0006,6.1,['ranthipeptide'],44445_66100,,,,
MAG01756_0008,8.1,['NRPS-like'],15858_57603,,,,
MAG01756_0013,13.1,['RiPP-like'],2380_14158,,,,
MAG01757_0062,62.1,['arylpolyene'],1_11053,flexirubin,Other,8,BGC0000839
MAG01757_0062,62.1,['arylpolyene'],1_11053,flexirubin,Polyketide,5,BGC0000838
MAG01758_0001,1.1,['ranthipeptide'],95616_117263,,,,
MAG01760_0006,6.1,['RiPP-like'],69875_81116,,,,
MAG01760_0009,9.1,['lanthipeptide-class-ii'],30265_52970,ruminococcin A,RiPP:Lanthipeptide,28,BGC0000545
MAG01760_0009,9.1,['lanthipeptide-class-ii'],30265_52970,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01761_0001,1.1,['RiPP-like'],7537_22947,gassericin T,RiPP,44,BGC0000619
MAG01761_0001,1.1,['RiPP-like'],7537_22947,gassericin-T,RiPP,44,BGC0001602
MAG01761_0001,1.1,['RiPP-like'],7537_22947,gassericin E,RiPP,33,BGC0001388
MAG01761_0002,2.1,['LAP'],20391_36874,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG01762_0022,22.1,['NRPS'],5972_30016,,,,
MAG01763_0096,96.1,['hydrogen-cyanide'],1_5958,,,,
MAG01763_0411,411.1,['terpene'],1_3672,,,,
MAG01763_0502,502.1,['RiPP-like'],1_3364,,,,
MAG01763_0632,632.1,['terpene'],1_3050,,,,
MAG01763_0740,740.1,['ranthipeptide'],1_2863,,,,
MAG01763_0764,764.1,['terpene'],1_2807,,,,
MAG01763_0805,805.1,['RiPP-like'],1_2710,,,,
MAG01763_0839,839.1,['hserlactone'],1_2658,,,,
MAG01763_0953,953.1,['cyanobactin'],1_2460,,,,
MAG01763_1379,1379.1,['hserlactone'],1_1874,,,,
MAG01764_0018,18.1,['lanthipeptide-class-iii'],1_10544,,,,
MAG01765_0061,61.1,['T3PKS'],1_4595,,,,
MAG01765_0098,98.1,['arylpolyene'],1_3746,,,,
MAG01766_0038,38.1,['lanthipeptide-class-iii'],1_9505,,,,
MAG01767_0001,1.1,['NRPS'],4584_47442,,,,
MAG01768_0027,27.1,['RRE-containing'],1_10338,,,,
MAG01769_0074,74.1,['ranthipeptide'],1_8121,,,,
MAG01770_0005,5.1,['T3PKS'],43773_75758,,,,
MAG01771_0002,2.1,['NRPS-like'],65302_107761,,,,
MAG01771_0009,9.1,['lanthipeptide-class-iii'],39043_54190,anacyclamide A10,RiPP:Cyanobactin,14,BGC0000472
MAG01771_0016,16.1,['T3PKS'],1_20831,,,,
MAG01773_0002,2.1,['RaS-RiPP'],1_17058,,,,
MAG01773_0083,83.1,['ranthipeptide'],1_3709,,,,
MAG01776_0156,156.1,['resorcinol'],1_3957,,,,
MAG01778_0105,105.1,['RRE-containing'],1_4131,,,,
MAG01779_0016,16.1,['ranthipeptide'],1_11412,,,,
MAG01779_0248,248.1,['lanthipeptide-class-ii'],1_2584,mutacin II,RiPP:Lanthipeptide,100,BGC0000532
MAG01779_0248,248.1,['lanthipeptide-class-ii'],1_2584,variacin,RiPP:Lanthipeptide,100,BGC0000562
MAG01780_0007,7.1,['ranthipeptide'],1_17483,,,,
MAG01781_0002,2.1,['ranthipeptide'],92667_114311,,,,
MAG01783_0010,10.1,['NRPS-like'],6346_38814,,,,
MAG01783_0014,14.1,['NRPS'],1_28329,equibactin,NRP,28,BGC0000347
MAG01783_0032,32.1,['T3PKS'],1_11721,,,,
MAG01784_0077,77.1,['arylpolyene'],1_6347,flexirubin,Polyketide,5,BGC0000838
MAG01784_0077,77.1,['arylpolyene'],1_6347,flexirubin,Other,8,BGC0000839
MAG01784_0088,88.1,['RRE-containing'],1_5981,,,,
MAG01784_0227,227.1,['arylpolyene'],1_2705,flexirubin,Other,12,BGC0000839
MAG01784_0227,227.1,['arylpolyene'],1_2705,flexirubin,Polyketide,5,BGC0000838
MAG01784_0283,283.1,['arylpolyene'],1_2003,flexirubin,Other,8,BGC0000839
MAG01784_0283,283.1,['arylpolyene'],1_2003,flexirubin,Polyketide,5,BGC0000838
MAG01785_0003,3.1,['RiPP-like'],1252_12514,,,,
MAG01785_0003,3.2,['lanthipeptide-class-ii'],1252_12514,,,,
MAG01786_0013,13.1,['lanthipeptide-class-iii'],1_10768,,,,
MAG01790_0001,1.1,['ranthipeptide'],259410_280822,,,,
MAG01791_0003,3.1,['T3PKS'],71978_113327,,,,
MAG01792_0113,113.1,['RiPP-like'],1_6648,,,,
MAG01793_0040,40.1,['RRE-containing'],806_15895,,,,
MAG01794_0028,28.1,['lanthipeptide-class-iii'],1_10638,,,,
MAG01795_0010,10.1,['lanthipeptide-class-i'],18362_42561,,,,
MAG01795_0020,20.1,['ranthipeptide'],1_11937,,,,
MAG01795_0021,21.1,['thiopeptide'],4951_25591,,,,
MAG01796_0004,4.1,['RRE-containing'],90243_110509,,,,
MAG01796_0015,15.1,['arylpolyene'],1_43485,flexirubin,Polyketide,13,BGC0000838
MAG01796_0015,15.1,['arylpolyene'],1_43485,flexirubin,Other,24,BGC0000839
MAG01796_0015,15.1,['arylpolyene'],1_43485,aryl polyenes,Other,16,BGC0002008
MAG01796_0015,15.1,['arylpolyene'],1_43485,APE Vf,Other,10,BGC0000837
MAG01799_0002,2.1,['T3PKS'],1_31122,,,,
MAG01799_0005,5.1,['lanthipeptide-class-iii'],1_15167,anacyclamide A10,RiPP:Cyanobactin,14,BGC0000472
MAG01799_0011,11.1,['NRPS-like'],10432_51541,,,,
MAG01801_0005,5.1,['ranthipeptide'],38197_59866,,,,
MAG01803_0001,1.1,['ranthipeptide'],324038_345604,,,,
MAG01804_0001,1.1,['NRPS-like'],50045_91790,,,,
MAG01804_0003,3.1,['RiPP-like'],129295_148693,,,,
MAG01804_0006,6.1,['ranthipeptide'],9278_30933,,,,
MAG01805_0004,4.1,['RaS-RiPP'],22736_47962,,,,
MAG01805_0005,5.1,['ranthipeptide'],1_11855,,,,
MAG01806_0049,49.1,['ranthipeptide'],1_10092,,,,
MAG01807_0112,112.1,['ranthipeptide'],1_4272,,,,
MAG01808_0016,16.1,['RRE-containing'],7751_27918,,,,
MAG01808_0117,117.1,['arylpolyene'],1_6818,flexirubin,Other,8,BGC0000839
MAG01808_0117,117.1,['arylpolyene'],1_6818,flexirubin,Polyketide,5,BGC0000838
MAG01808_0229,229.1,['arylpolyene'],1_1696,flexirubin,Other,8,BGC0000839
MAG01811_0061,61.1,['ranthipeptide'],1_7237,,,,
MAG01811_0171,171.1,['RiPP-like'],1_3420,,,,
MAG01814_0044,44.1,['ranthipeptide'],1_7459,,,,
MAG01815_0003,3.1,['NRPS-like'],11538_53283,,,,
MAG01815_0010,10.1,['RiPP-like'],1_10209,,,,
MAG01815_0021,21.1,['ranthipeptide'],1_16708,,,,
MAG01821_0017,17.1,['RRE-containing'],1_12992,,,,
MAG01821_0098,98.1,['arylpolyene'],1_6755,flexirubin,Other,8,BGC0000839
MAG01821_0098,98.1,['arylpolyene'],1_6755,flexirubin,Polyketide,5,BGC0000838
MAG01822_0047,47.1,['lanthipeptide-class-iii'],1_8039,,,,
MAG01823_0015,15.1,['T3PKS'],1_14110,,,,
MAG01823_0019,19.1,['RiPP-like'],5324_13295,,,,
MAG01823_0030,30.1,['RiPP-like'],1_7297,,,,
MAG01824_0141,141.1,['resorcinol'],1_4622,,,,
MAG01825_0001,1.1,['RiPP-like'],2462_13643,,,,
MAG01825_0016,16.1,['lanthipeptide-class-iii'],1_10334,,,,
MAG01826_0001,1.1,['NRPS'],119638_161857,,,,
MAG01827_0060,60.1,['T1PKS'],1_8108,,,,
MAG01828_0068,68.1,['NRPS'],1_3779,,,,
MAG01829_0036,36.1,['lanthipeptide-class-iii'],1_10568,,,,
MAG01829_0041,41.1,['RiPP-like'],1_6377,,,,
MAG01830_0060,60.1,['lanthipeptide-class-iii'],1_6093,,,,
MAG01831_0020,20.1,['NRPS'],1_32192,,,,
MAG01832_0008,8.1,['T3PKS'],1_29381,,,,
MAG01833_0009,9.1,['RiPP-like'],21026_31961,,,,
MAG01833_0023,23.1,['RiPP-like'],11921_20947,gassericin T,RiPP,22,BGC0000619
MAG01833_0023,23.1,['RiPP-like'],11921_20947,gassericin-T,RiPP,22,BGC0001602
MAG01833_0023,23.1,['RiPP-like'],11921_20947,gassericin E,RiPP,22,BGC0001388
MAG01834_0008,8.1,['RiPP-like'],21026_31961,,,,
MAG01834_0025,25.1,['RiPP-like'],11921_20949,gassericin T,RiPP,22,BGC0000619
MAG01834_0025,25.1,['RiPP-like'],11921_20949,gassericin-T,RiPP,22,BGC0001602
MAG01834_0025,25.1,['RiPP-like'],11921_20949,gassericin E,RiPP,22,BGC0001388
MAG01834_0143,143.1,['RiPP-like'],1_3679,gassericin T,RiPP,33,BGC0000619
MAG01834_0143,143.1,['RiPP-like'],1_3679,gassericin-T,RiPP,33,BGC0001602
MAG01834_0143,143.1,['RiPP-like'],1_3679,gassericin E,RiPP,33,BGC0001388
MAG01835_0054,54.1,['cyanobactin'],1_10119,,,,
MAG01835_0068,68.1,['redox-cofactor'],1_9639,,,,
MAG01835_0070,70.1,['hserlactone'],1_9599,,,,
MAG01835_0223,223.1,['T3PKS'],1_6458,,,,
MAG01835_0234,234.1,['RiPP-like'],1_6356,,,,
MAG01835_0353,353.1,['RiPP-like'],1_5342,,,,
MAG01835_0378,378.1,['NRPS-like'],1_5202,,,,
MAG01835_0415,415.1,['terpene'],1_4955,,,,
MAG01835_0424,424.1,['hserlactone'],1_4924,,,,
MAG01835_0549,549.1,['terpene'],1_4258,,,,
MAG01835_0767,767.1,['hserlactone'],1_3401,,,,
MAG01836_0002,2.1,['RiPP-like'],19670_30605,,,,
MAG01836_0053,53.1,['RiPP-like'],1_8817,gassericin T,RiPP,22,BGC0000619
MAG01836_0053,53.1,['RiPP-like'],1_8817,gassericin-T,RiPP,22,BGC0001602
MAG01836_0053,53.1,['RiPP-like'],1_8817,gassericin E,RiPP,22,BGC0001388
MAG01836_0110,110.1,['RiPP-like'],1_5581,,,,
MAG01836_0144,144.1,['RiPP-like'],1_3677,gassericin T,RiPP,33,BGC0000619
MAG01836_0144,144.1,['RiPP-like'],1_3677,gassericin-T,RiPP,33,BGC0001602
MAG01836_0144,144.1,['RiPP-like'],1_3677,gassericin E,RiPP,33,BGC0001388
MAG01837_0028,28.1,['NRPS'],1_18016,,,,
MAG01838_0027,27.1,['RiPP-like'],1_9028,gassericin T,RiPP,22,BGC0000619
MAG01838_0027,27.1,['RiPP-like'],1_9028,gassericin-T,RiPP,22,BGC0001602
MAG01838_0027,27.1,['RiPP-like'],1_9028,gassericin E,RiPP,22,BGC0001388
MAG01838_0048,48.1,['LAP'],1_15407,listeriolysin S,RiPP:LAP,25,BGC0001171
MAG01838_0129,129.1,['RiPP-like'],1_3679,gassericin T,RiPP,33,BGC0000619
MAG01838_0129,129.1,['RiPP-like'],1_3679,gassericin-T,RiPP,33,BGC0001602
MAG01838_0129,129.1,['RiPP-like'],1_3679,gassericin E,RiPP,33,BGC0001388
MAG01838_0134,134.1,['RiPP-like'],1_3474,,,,
MAG01840_0001,1.1,['lanthipeptide-class-v'],289564_331428,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG01840_0001,1.1,['lanthipeptide-class-v'],289564_331428,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG01840_0001,1.1,['lanthipeptide-class-v'],289564_331428,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG01840_0001,1.1,['lanthipeptide-class-v'],289564_331428,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG01840_0001,1.2,['lanthipeptide-class-ii'],289564_331428,TP-1161,RiPP:Thiopeptide,8,BGC0000615
MAG01840_0001,1.2,['lanthipeptide-class-ii'],289564_331428,nosiheptide,RiPP:Thiopeptide,7,BGC0000610
MAG01840_0001,1.2,['lanthipeptide-class-ii'],289564_331428,alchivemycin A/alchivemycin B,Polyketide+NRP,11,BGC0002456
MAG01840_0001,1.2,['lanthipeptide-class-ii'],289564_331428,rifamorpholine A/rifamorpholine B/rifamorpholine C/rifamorpholine D/rifamorpholine E,Polyketide,3,BGC0001759
MAG01840_0011,11.1,['lanthipeptide-class-iii'],1_10720,,,,
MAG01841_0014,14.1,['RiPP-like'],23667_34201,gassericin T,RiPP,44,BGC0000619
MAG01841_0014,14.1,['RiPP-like'],23667_34201,gassericin-T,RiPP,44,BGC0001602
MAG01841_0014,14.1,['RiPP-like'],23667_34201,gassericin E,RiPP,33,BGC0001388
MAG01841_0018,18.1,['RiPP-like'],1_9604,,,,
MAG01841_0136,136.1,['RiPP-like'],1_2036,,,,
MAG01842_0230,230.1,['T3PKS'],1_2083,,,,
MAG01843_0032,32.1,['RiPP-like'],10002_17928,,,,
MAG01844_0028,28.1,['RiPP-like'],10003_17929,,,,
MAG01844_0313,313.1,['RiPP-like'],1_1607,,,,
MAG01845_0020,20.1,['RiPP-like'],4017_14916,,,,
MAG01845_0077,77.1,['hserlactone'],1_12197,,,,
MAG01845_0099,99.1,['hserlactone'],1383_19528,,,,
MAG01845_0101,101.1,['terpene'],1_13917,carotenoid,Terpene,100,BGC0000647
MAG01845_0114,114.1,['T3PKS'],1_18468,,,,
MAG01845_0122,122.1,['RiPP-like'],9053_17866,,,,
MAG01845_0151,151.1,['terpene'],3191_15858,,,,
MAG01845_0165,165.1,['NRPS-like'],1_15033,,,,
MAG01845_0220,220.1,['terpene'],1_12272,,,,
MAG01845_0239,239.1,['cyanobactin'],1_11795,,,,
MAG01845_0280,280.1,['hserlactone'],1_9917,,,,
MAG01845_0409,409.1,['hydrogen-cyanide'],1_6440,,,,
MAG01845_0626,626.1,['terpene'],1_3397,,,,
MAG01845_0770,770.1,['RRE-containing'],1_1751,,,,
MAG01847_0009,9.1,['ranthipeptide'],58051_79463,,,,
